"original address",latitude,longitude
"8911 Florin Rd Sacramento,CA",38.496954,-121.371078
"4847 Amber Ln Sacramento,CA",38.658112,-121.351072
"4901 Auburn Blvd Sacramento,CA",38.657309,-121.351385
"5045 Madison Ave Sacramento,CA",38.660492,-121.348111
"5289 Auburn Blvd Sacramento,CA",38.66558,-121.342739
"7996 Bradshaw Rd Sacramento,CA",38.466788,-121.334851
"7210 Roseville Rd Sacramento,CA",38.697135,-121.335923
"5000 Folsom Blvd Sacramento,CA",38.560446,-121.444854
"8391 Folsom Blvd Sacramento,CA",38.548094,-121.393092
"7960 Gerber Rd Sacramento,CA",38.480626,-121.410441
"3710 Franklin Blvd Sacramento,CA",38.540398,-121.47669
"3173 Marysville Blvd Sacramento,CA",38.624754,-121.434279
"6231 Fruitridge Rd Sacramento,CA",38.52558,-121.431875
"4775 Rio Linda Blvd Sacramento,CA",38.654091,-121.448383
"6968 65th St Ste E Sacramento,CA",38.500567,-121.437889
"7245 East Pkwy Sacramento,CA",38.494722,-121.449862
"4320 Arden Way Sacramento,CA",38.594758,-121.363551
"3518 Marconi Ave Sacramento,CA",38.616588,-121.38156
"7596 Bradshaw Rd Sacramento,CA",38.48186,-121.334838
"5815 Stockton Blvd Ste B Sacramento,CA",38.521121,-121.4398
"1540 W El Camino Ave Sacramento,CA",38.611796,-121.496539
"5880 Stockton Blvd Sacramento,CA",38.520059,-121.440794
"6418 Stockton Blvd Sacramento,CA",38.509623,-121.43636
"7960 Gerber Rd Sacramento,CA",38.480626,-121.410441
"6640 Valley Hi Dr Sacramento,CA",38.472477,-121.42617
"6625 Valley Hi Dr Sacramento,CA",38.471439,-121.427612
"7810 Stockton Blvd Sacramento,CA",38.473811,-121.42027
"7850 Stockton Blvd Ste 190 Sacramento,CA",38.473593,-121.419495
"4445 Auburn Blvd Sacramento,CA",38.648463,-121.360532
"9731 Folsom Blvd Sacramento,CA",38.573597,-121.334253
"8911 Florin Rd Sacramento,CA",38.496954,-121.371078
"4847 Amber Ln Sacramento,CA",38.658112,-121.351072
"4901 Auburn Blvd Sacramento,CA",38.657309,-121.351385
"5045 Madison Ave Sacramento,CA",38.660492,-121.348111
"5289 Auburn Blvd Sacramento,CA",38.66558,-121.342739
"7996 Bradshaw Rd Sacramento,CA",38.466788,-121.334851
"7210 Roseville Rd Sacramento,CA",38.697135,-121.335923
"5000 Folsom Blvd Sacramento,CA",38.560446,-121.444854
"8391 Folsom Blvd Sacramento,CA",38.548094,-121.393092
"7960 Gerber Rd Sacramento,CA",38.480626,-121.410441
"3710 Franklin Blvd Sacramento,CA",38.540398,-121.47669
"3173 Marysville Blvd Sacramento,CA",38.624754,-121.434279
"6231 Fruitridge Rd Sacramento,CA",38.52558,-121.431875
"4775 Rio Linda Blvd Sacramento,CA",38.654091,-121.448383
"6968 65th St Ste E Sacramento,CA",38.500567,-121.437889
"7245 East Pkwy Sacramento,CA",38.494722,-121.449862
"4320 Arden Way Sacramento,CA",38.594758,-121.363551
"3518 Marconi Ave Sacramento,CA",38.616588,-121.38156
"7596 Bradshaw Rd Sacramento,CA",38.48186,-121.334838
"5815 Stockton Blvd Ste B Sacramento,CA",38.521121,-121.4398
"1540 W El Camino Ave Sacramento,CA",38.611796,-121.496539
"5880 Stockton Blvd Sacramento,CA",38.520059,-121.440794
"6418 Stockton Blvd Sacramento,CA",38.509623,-121.43636
"2700 Marconi Ave Sacramento,CA",38.616914,-121.398996
"9137 Kiefer Blvd Sacramento,CA",38.548459,-121.360244
"4321 Madison Ave Ste E Sacramento,CA",38.661539,-121.363168
"5445 Auburn Blvd Sacramento,CA",38.66884,-121.337837
"1400 G St Sacramento,CA",38.581852,-121.48636
"400 Capitol Mall Ste 120 Sacramento,CA",38.578358,-121.502495
"1830 J St Sacramento,CA",38.576869,-121.481525
"2108 16th St Sacramento,CA",38.56585,-121.49075
"1301 Broadway Sacramento,CA",38.562829,-121.496002
"444 N 3rd St Sacramento,CA",38.598931,-121.49997
"2500 P St Sacramento,CA",38.568011,-121.475982
"2600 C St Sacramento,CA",38.58196,-121.46847
"2800 G St Sacramento,CA",38.576839,-121.467714
"2736 Muir Way Sacramento,CA",38.559495,-121.505047
"2800 T St Sacramento,CA",38.562547,-121.473818
"2703 24th St Sacramento,CA",38.554862,-121.483093
"2200 Northgate Blvd Sacramento,CA",38.606884,-121.475312
"1540 W El Camino Ave Sacramento,CA",38.611796,-121.496539
"4065 McKinley Blvd Sacramento,CA",38.578693,-121.447618
"750 46th St Sacramento,CA",38.570469,-121.444879
"2300 Sutterville Rd Ste B Sacramento,CA",38.53888,-121.486705
"3300 12th Ave Sacramento,CA",38.5409,-121.470825
"3291 Truxel Rd Ste 18 Sacramento,CA",38.626082,-121.499185
"4000 12th Ave Sacramento,CA",38.540988,-121.460632
"3946 Martin Luther King Jr Blvd Sacramento,CA",38.538831,-121.465115
"4604 Franklin Blvd Sacramento,CA",38.533147,-121.474546
"5485 Carlson Dr Sacramento,CA",38.572504,-121.432835
"4011 W Nichols Ave Sacramento,CA",38.538087,-121.459276
"4330 14th Ave Sacramento,CA",38.539272,-121.45564
"5069 Freeport Blvd Sacramento,CA",38.527806,-121.496041
"2700 Marconi Ave Sacramento,CA",38.616914,-121.398996
"9137 Kiefer Blvd Sacramento,CA",38.548459,-121.360244
"4321 Madison Ave Ste E Sacramento,CA",38.661539,-121.363168
"5445 Auburn Blvd Sacramento,CA",38.66884,-121.337837
"1400 G St Sacramento,CA",38.581852,-121.48636
"400 Capitol Mall Ste 120 Sacramento,CA",38.578358,-121.502495
"1830 J St Sacramento,CA",38.576869,-121.481525
"2108 16th St Sacramento,CA",38.56585,-121.49075
"1301 Broadway Sacramento,CA",38.562829,-121.496002
"444 N 3rd St Sacramento,CA",38.598931,-121.49997
"2500 P St Sacramento,CA",38.568011,-121.475982
"2600 C St Sacramento,CA",38.58196,-121.46847
"2800 G St Sacramento,CA",38.576839,-121.467714
"2736 Muir Way Sacramento,CA",38.559495,-121.505047
"2800 T St Sacramento,CA",38.562547,-121.473818
"2703 24th St Sacramento,CA",38.554862,-121.483093
"2200 Northgate Blvd Sacramento,CA",38.606884,-121.475312
"1540 W El Camino Ave Sacramento,CA",38.611796,-121.496539
"4065 McKinley Blvd Sacramento,CA",38.578693,-121.447618
"750 46th St Sacramento,CA",38.570469,-121.444879
"2300 Sutterville Rd Ste B Sacramento,CA",38.53888,-121.486705
"3300 12th Ave Sacramento,CA",38.5409,-121.470825
"3291 Truxel Rd Ste 18 Sacramento,CA",38.626082,-121.499185
"4000 12th Ave Sacramento,CA",38.540988,-121.460632
"3946 Martin Luther King Jr Blvd Sacramento,CA",38.538831,-121.465115
"4604 Franklin Blvd Sacramento,CA",38.533147,-121.474546
"5485 Carlson Dr Sacramento,CA",38.572504,-121.432835
"4011 W Nichols Ave Sacramento,CA",38.538087,-121.459276
"4330 14th Ave Sacramento,CA",38.539272,-121.45564
"5069 Freeport Blvd Sacramento,CA",38.527806,-121.496041
"4614 Martin Luther King Jr Blvd Sacramento,CA",38.53296,-121.464989
"4160 Stockton Blvd Sacramento,CA",38.537218,-121.448529
"3900 Fruitridge Rd Sacramento,CA",38.524439,-121.463236
"5830 Franklin Blvd Sacramento,CA",38.520659,-121.470772
"5960 Freeport Blvd Sacramento,CA",38.517395,-121.500082
"4940 Stockton Blvd Sacramento,CA",38.530702,-121.445873
